execution_idx,application,case,version,classpath,package,stacktrace_path,fixed,fixed_version,buggy_frame,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,test_dir
1,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,124655,10,JarFiles/GGA-tests/XWIKI-13708
1,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,124655,50,JarFiles/GGA-tests/XWIKI-13708
1,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,124655,200,JarFiles/GGA-tests/XWIKI-13708
1,xwiki,XWIKI-14227,9.3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-9.3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-14227/XWIKI-14227.log,yes,9.3.1,3,0.8,0.5,0,0,124655,10,JarFiles/GGA-tests/XWIKI-14227
1,xwiki,XWIKI-14227,9.3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-9.3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-14227/XWIKI-14227.log,yes,9.3.1,3,0.8,0.5,0,0,124655,50,JarFiles/GGA-tests/XWIKI-14227
1,xwiki,XWIKI-14227,9.3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-9.3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-14227/XWIKI-14227.log,yes,9.3.1,3,0.8,0.5,0,0,124655,200,JarFiles/GGA-tests/XWIKI-14227
1,xwiki,XWIKI-13377,8.1-milestone-1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.1-milestone-1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13377/XWIKI-13377.log,yes,8.1-rc-1,5,0.8,0.5,0,0,124655,10,JarFiles/GGA-tests/XWIKI-13377
1,xwiki,XWIKI-13377,8.1-milestone-1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.1-milestone-1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13377/XWIKI-13377.log,yes,8.1-rc-1,5,0.8,0.5,0,0,124655,50,JarFiles/GGA-tests/XWIKI-13377
1,xwiki,XWIKI-13377,8.1-milestone-1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.1-milestone-1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13377/XWIKI-13377.log,yes,8.1-rc-1,5,0.8,0.5,0,0,124655,200,JarFiles/GGA-tests/XWIKI-13377
1,xwiki,XWIKI-14475,9.5,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-9.5,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-14475/XWIKI-14475.log,yes,9.5.1,1,0.8,0.5,0,0,124655,10,JarFiles/GGA-tests/XWIKI-14475
