execution_idx,application,case,version,classpath,package,stacktrace_path,fixed,fixed_version,buggy_frame,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,test_dir
1,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
2,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
3,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
4,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
5,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
6,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
7,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
8,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
9,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
10,xwiki,XWIKI-12482,7.2-milestone-3,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-7.2-milestone-3,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-12482/XWIKI-12482.log,yes,7.2-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-12482
1,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-13708
2,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-13708
3,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-13708
4,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-13708
5,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-13708
6,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-13708
7,xwiki,XWIKI-13708,8.2.1,JarFiles/resources/targetedSoftware/XWIKI-bins/XWIKI-8.2.1,xwiki,JarFiles/resources/logs/XWIKI/XWIKI-13708/XWIKI-13708.log,yes,8.3-rc-1,1,0.8,0.5,0,0,62328,100,JarFiles/GGA-tests/XWIKI-13708
